year,age,sex,people
2011,15,F,3437
2011,20,F,3699
2011,25,F,3652
2011,30,F,3691
2011,35,F,4631
2011,40,F,5188
2011,45,F,5648
2011,5,F,2696
2011,50,F,5291
2011,55,F,4548
2011,60,F,4786
2011,65,F,3944
2011,70,F,4316
2011,75,F,3825
2011,80,F,3197
2011,85,F,2784
2011,0,M,2524
2011,10,M,3059
2011,15,M,3617
2011,20,M,3925
2011,25,M,3851
2011,30,M,3817
2011,35,M,4304
2011,40,M,4758
2011,45,M,4840
2011,5,M,2871
2011,50,M,4613
2011,55,M,4101
2011,60,M,3966
2011,65,M,3035
2011,70,M,3161
2011,75,M,2667
2011,80,M,1835
2011,85,M,1262
